 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Keyword research status,Status,Headline,Icon Pages,Link pointing to,Cilckable link,Bottom-text,Icon page created?,Text in plugin,,Comments
"(General, if we don't find a topic for the site)",-,-,-,(Done),Integrated in plugin?,New feature: Tailored icons,,https://www.ultimatelysocial.com/themed-icons/?utm_source=any_settings_page&utm_campaign=Themed_icons&utm_medium=banner,https://www.ultimatelysocial.com/themed-icons/?utm_source=any_settings_page&utm_campaign=Themed_icons&utm_medium=banner,See more themed icons >,yes,,,
Cat,"cattery, catrescue, rescuedcat, kitten, kitty, meow, feline","cat, cats","Catherine,catwalk,",Done,Integrated in plugin?,Do you like cats?,https://www.ultimatelysocial.com/cat-themed-icons/,https://www.ultimatelysocial.com/Cat-themed-icons/?utm_source=any_settings_page&utm_campaign=Cat_icons&utm_medium=banner,https://www.ultimatelysocial.com/Cat-themed-icons/?utm_source=any_settings_page&utm_campaign=Cat_icons&utm_medium=banner,See all cat-themed-icons >,yes,,,
Horse,"equine, gallop","horse, horses, pony, ponies","horseengine, seahorses, seahorse, seapony, seaponies, horseengines, ponytail",Done,Integrated in plugin?,Do you like horses?,https://www.ultimatelysocial.com/horse-themed-icons/,https://www.ultimatelysocial.com/Horse-themed-icons/?utm_source=any_settings_page&utm_campaign=Horse_icons&utm_medium=banner,https://www.ultimatelysocial.com/Horse-themed-icons/?utm_source=any_settings_page&utm_campaign=Horse_icons&utm_medium=banner,See all horse-themed-icons >,yes,,,
Teeth,"dentist, teeth, dental",tooth,"bluetooth, gadgetooth",Done,Integrated in plugin?,You got a thing with teeth?,https://www.ultimatelysocial.com/teeth-themed-icons/,https://www.ultimatelysocial.com/Teeth-shaped-icons/?utm_source=any_settings_page&utm_campaign=Teeth_icons&utm_medium=banner,https://www.ultimatelysocial.com/Teeth-shaped-icons/?utm_source=any_settings_page&utm_campaign=Teeth_icons&utm_medium=banner,See all teeth-themed-icons >,yes,,,for dentists
Beer,"beer, brewery, oktoberfest, barley, beerfest, brewers, brewer","brew, stout, malt, brews, stouts, malts","hebrew, malta",Done,Integrated in plugin?,Do you like beer?,https://www.ultimatelysocial.com/beer-themed-icons/,https://www.ultimatelysocial.com/Beer-themed-icons/?utm_source=any_settings_page&utm_campaign=Beer_icons&utm_medium=banner,https://www.ultimatelysocial.com/Beer-themed-icons/?utm_source=any_settings_page&utm_campaign=Beer_icons&utm_medium=banner,See all beer-themed-icons >,yes,,,
Photography,"photography, snapshot, fotografia","camera, photo, snap, cameras, photos, snaps, foto, ","cameracivile, cameradelcommercio, snapdragon, snappy",Done,Integrated in plugin?,Do you like photography?,https://www.ultimatelysocial.com/photography-themed-icons/,https://www.ultimatelysocial.com/Photography-themed-icons/?utm_source=any_settings_page&utm_campaign=Photography_icons&utm_medium=banner,https://www.ultimatelysocial.com/Photography-themed-icons/?utm_source=any_settings_page&utm_campaign=Photography_icons&utm_medium=banner,See all photography-themed-icons >,yes (to be completed),,,
Realestate,"realestate, realtor, property, immoveables, accomodation","housing,housings, houses, house, casa",bakehouse,Done,Integrated in plugin?,Are you into real estate?,https://www.ultimatelysocial.com/realestate-themed-icons/,https://www.ultimatelysocial.com/Realestate-themed-icons/?utm_source=any_settings_page&utm_campaign=Realestate_icons&utm_medium=banner,https://www.ultimatelysocial.com/Realestate-themed-icons/?utm_source=any_settings_page&utm_campaign=Realestate_icons&utm_medium=banner,See all real-estate-themed-icons >,yes (to be completed),,,
Cooking,"cooking, recipe, chef, baking, roasting, grilling, frying, resto, restaurant, culinary, culinaria, salad, kitchen","cook, bake, grill, fry, cooks, bakes, grills, frys, dine","grillo, grilla, noureddine",Done,Integrated in plugin?,Do you like cooking?,https://www.ultimatelysocial.com/cooking-themed-icons/,https://www.ultimatelysocial.com/Cooking-themed-icons/?utm_source=any_settings_page&utm_campaign=Cooking_icons&utm_medium=banner,https://www.ultimatelysocial.com/Cooking-themed-icons/?utm_source=any_settings_page&utm_campaign=Cooking_icons&utm_medium=banner,See all cooking-themed-icons >,yes (to be completed),,,
Drinking,"drinking, wine, winery, softdrinks, booze, guzzle","drunk, drink, drunks, drinks",,Done,Integrated in plugin?,Do you like drinks?,https://www.ultimatelysocial.com/drinking-themed-icons/,https://www.ultimatelysocial.com/Drinking-themed-icons/?utm_source=any_settings_page&utm_campaign=Drinking_icons&utm_medium=banner,https://www.ultimatelysocial.com/Drinking-themed-icons/?utm_source=any_settings_page&utm_campaign=Drinking_icons&utm_medium=banner,See all drinking-themed-icons >,yes (to be completed),,,
Travel,"travel, journey, trekking, voyage, traveler, tourist, tourism, maps, yacht","trek, trip, treks, trips, hike, hiking, tour, tours","startrek, trekstar, strip, stripper, trippy, stripping, tripwire",Done,Integrated in plugin?,Are you a traveler?,https://www.ultimatelysocial.com/travel-themed-icons/,https://www.ultimatelysocial.com/Travel-themed-icons/?utm_source=any_settings_page&utm_campaign=Travel_icons&utm_medium=banner,https://www.ultimatelysocial.com/Travel-themed-icons/?utm_source=any_settings_page&utm_campaign=Travel_icons&utm_medium=banner,See all travel-themed-icons >,yes (to be completed),,,
Music,"music, sound, rhythm, guitar, singing, audio, piano, violin, podcast","drums, cello, celloes, song, songs","eardrums, balisong, thaisong",Done,Integrated in plugin?,Do you like music?,https://www.ultimatelysocial.com/music-themed-icons/,https://www.ultimatelysocial.com/Music-themed-icons/?utm_source=any_settings_page&utm_campaign=Music_icons&utm_medium=banner,https://www.ultimatelysocial.com/Music-themed-icons/?utm_source=any_settings_page&utm_campaign=Music_icons&utm_medium=banner,See all music-themed-icons >,yes (to be completed),,,
Dogs,"puppy, pups, puppies, pooch, puppies","pup, dog, dogs","puppet, puppets, dogana",Done,Please integrate into plugin,Do you like dogs?,https://www.ultimatelysocial.com/dogs-themed-icons/,https://www.ultimatelysocial.com/Dogs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dogs_icons&utm_medium=banner,https://www.ultimatelysocial.com/Dogs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dogs_icons&utm_medium=banner,See all dogs-themed-icons >,,,,
Love,"dating, cupid, relationship, relationships, couples","heart, romance",,Done,Please integrate into plugin,Are you a loving person?,https://www.ultimatelysocial.com/love-themed-icons/,https://www.ultimatelysocial.com/Love-themed-icons/?utm_source=any_settings_page&utm_campaign=Love_icons&utm_medium=banner,https://www.ultimatelysocial.com/Love-themed-icons/?utm_source=any_settings_page&utm_campaign=Love_icons&utm_medium=banner,See all love-themed-icons >,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Naturegardening,"environment, flora, flower, flowers, gardening, botany, sapling, saplings, greenpeace, fleurs, fleur","forest, forests, tree, trees, nature, garden","forestcity, gardenia",Done,Please integrate into plugin,Is your site about nature / gardening?,https://www.ultimatelysocial.com/naturegardening-themed-icons/,https://www.ultimatelysocial.com/Naturegardening-themed-icons/?utm_source=any_settings_page&utm_campaign=Naturegardening_icons&utm_medium=banner,https://www.ultimatelysocial.com/Naturegardening-themed-icons/?utm_source=any_settings_page&utm_campaign=Naturegardening_icons&utm_medium=banner,See all nature-themed-icons >,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
finance,"investing, finance, invest, money, business, entrepreneur, marketing, accounting, accountant, trading, taxes, marketing, branding","bank, banks. loan, loans, seo, tax","foodbank, riverbanks, riverbank, taxi, taxis",Done,Please integrate into plugin,Is your site about money?,https://www.ultimatelysocial.com/finance-themed-icons/,https://www.ultimatelysocial.com/finance-themed-icons/?utm_source=any_settings_page&utm_campaign=finance_icons&utm_medium=banner,https://www.ultimatelysocial.com/finance-themed-icons/?utm_source=any_settings_page&utm_campaign=finance_icons&utm_medium=banner,See all money-themed-icons >,,,,
Sports,"football, soccer, sport, sporting, baseball, basketball, tennis, golf, rugby, boxing, cricket, bodybuilding, fitness, workout","muscle, muscles, ski","musclecar, musclecars",Done,Please integrate into plugin,Is your site about sports?,https://www.ultimatelysocial.com/sports-themed-icons/,https://www.ultimatelysocial.com/Sports-themed-icons/?utm_source=any_settings_page&utm_campaign=Sports_icons&utm_medium=banner,https://www.ultimatelysocial.com/Sports-themed-icons/?utm_source=any_settings_page&utm_campaign=Sports_icons&utm_medium=banner,See all sports-themed-icons >,,,,
Automotives,"motorbikes, bike, truck, trucks, motors, automobile, automotive, automobiles, automotives, locomotive, locomotives, buses, trisikel, triciclo, biker, motociclismo, motociclista, motociclo, nissan, toyota, mitsubishi, suzuki,","car, cars, ride, rides, auto, trains, bus, tires, tire, sedan, SUV, wheel, wheels, wheelz, audi, ford, fiat","carmen, carlo, carlos, carmela, carla, cartoon, carpet, carson, carpentry, carpenteer, carta, madagascar, ridere, automatick, automeritum, automation, buscando, bush, busk, tired, retired, busca, sedano, wheelchair, cartwheel, cartwheels",Done,Please integrate into plugin,Is your site about automotives?,https://www.ultimatelysocial.com/automotives-themed-icons/,https://www.ultimatelysocial.com/Automotives-themed-icons/?utm_source=any_settings_page&utm_campaign=Automotives_icons&utm_medium=banner,https://www.ultimatelysocial.com/Automotives-themed-icons/?utm_source=any_settings_page&utm_campaign=Automotives_icons&utm_medium=banner,See all automotives-themed-icons >,,,,
Tech,"computer, hardware, gadget, gadgets, computing, software, android, Drone, Droner,","app, apps, pc, cpu, gpu, chip, chipset","appartement, applied, apprenties, apprentie, apparel, apparels, apprentice, apprentices, appointment, appointments, approach, apporoaches, apple, apples, potatochip, potatochips",Done,Please integrate into plugin,Is your site about tech?,https://www.ultimatelysocial.com/tech-themed-icons/,https://www.ultimatelysocial.com/Tech-themed-icons/?utm_source=any_settings_page&utm_campaign=Tech_icons&utm_medium=banner,https://www.ultimatelysocial.com/Tech-themed-icons/?utm_source=any_settings_page&utm_campaign=Tech_icons&utm_medium=banner,See all IT-themed-icons >,,,,e.g computer icons
